Gene,Ensembl ID,Gene Description,Synonym,OMIM ID,Functio l Summary from Literature,Ciliary Localization,Reference,Protein complexes,Gene annotation
CDK10,ENSG00000185324,cyclin dependent ki se 10 [Source:HGNC Symbol;Acc:HGNC:1770],PISSLRE,603464,"Interacts with Cyclin M (CycM), encoded by FAM58A to form an active protein ki se. CDK10/CycM is a key repressor of ciliogenesis through the regulation of RhoA and modulation of actin dy mics (27104747). Important for normal regulation of ciliogenesis (29130579).",basal body,27104747; 29130579,NA,CellCycle DNARepair
CDK20,ENSG00000156345,cyclin dependent ki se 20 [Source:HGNC Symbol;Acc:HGNC:21420],CCRK; P42; PNQALRE,610076,"Positively and negatively controls both ciliary length and the activity of the Hh pathway, regulates a broad array of processes at levels ranging from the subcellular to the organismal (28817564).",cilia,28817564; 20159594,NA,CellCycle DNARepair
CDKL5,ENSG00000008086,cyclin dependent ki se like 5 [Source:HGNC Symbol;Acc:HGNC:11411],CFAP247; EIEE2; STK9,300203,"Regulate cilium length, has a potential role in ciliogenesis, facilitates dendritic spine and excitatory sy pse formation (29420175).","basal body, cilia",29420175,NA,NA
CDKN1B,ENSG00000111276,cyclin dependent ki se inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785],KIP1; P27KIP1,600778,"Also known as p27Kip1. Multifunctio l protein that plays crucial roles in cell architecture and migration by regulating rearrangements of the actin cytoskeleton and microtubules. p27Kip1 abrogation impairs one of the earliest events of ciliogenesis, docking of the Ehd1- associated preciliary vesicles to the distal appendages of the basal body (32423824)","basal body, cilia , transition zone",32423824,NA,NA
CENPF,ENSG00000117724,centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857],HCP-1,600236,Centriolar disease gene implicated in severe human ciliopathy and MCPH-related phenotypes (25564561; 26820108; 31488893; 31953238).,"basal body,cilia",25564561; 26820108; 31488893; 31953238,NA,NA
CENPJ,ENSG00000151849,centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272],BM032; CPAP; LAP; LIP1; MCPH6; SAS-4; SASS4; SCKL4,609279,"Acts as a scaffold for the cilium disassembly complex, which includes Nde1, Aurora A, and OFD1, which is recruited to the ciliary base for timely cilium disassembly, plays a role in NPC proliferation, cilia formation, controlling the cilium axoneme and BB structure, regulates centriole duplication and elongation (30626697). Promotes the extension of the centriolar cylinder, presumably via its ability to recruit tubulin to the  scent structure, studies propose that functions as a scaffold for tubulin addition (19481458).",basal body,30626697; 19481458,NA,NA
CEP104,ENSG00000116198,centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866],CFAP256; GLYBP; JBTS25; KIAA0562; ROC22; RP1-286D6.4,616690,"Has an important role in regulating microtubule length in cilia by facilitating tubulin addition to ciliary microtubules and might also be involved in regulating other factors, possibly by interacting with Nek1. Cep104 is involved in the stabilization of the ciliary axoneme or in cilia formation and elongation, mutations cause ciliopathies (28017521). Regulates ciliary assembly by interacting with centriolar proteins that suppress cilia formation, detaches from these proteins at the onset of cilia formation and moves to the tip of the  scent cilium (23970417).","basal body,cilia",31412255; 28017521; 23970417,NA,NA
CEP120,ENSG00000168944,centrosomal protein 120 [Source:HGNC Symbol;Acc:HGNC:26690],CCDC100; FLJ36090,613446,"Is essential for the recruitment of C2CD3 and Talpid3 to the  scent centrioles, and is responsible for promoting the assembly of the centriole appendages that are needed for subsequent ciliogenesis. It is a daughter centriole- enriched protein that plays an essential role in centriole elongation (30988386). Plays a key role in the duplication and maturation of centrioles, which in principle could impact the production of a functio l basal body (29847808).",basal body,30988386; 29847808,NA,NA
CEP128,ENSG00000100629,centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359],C14ORF145; C14ORF61,620667,It encodes a subdistal appendage protein that regulates TGF-尾/bone morphogenetic protein (BMP) sig ling and RAB11 trafficking at the primary cilium. It has no major effect on centrosome structure but leads to increased ciliation frequency (29514088).,basal body,29514088,Centriolar subdistal appendage,NA
CEP131,ENSG00000141577,centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511],AZ1; AZI1; KIAA1118,613479,"Contributor to ciliogenesis in certain tissues in the developing vertebrate embryo, involved in assembling the cilium and in determi tion of the length of the axoneme (19254375). The Atoh1- Cep131-CS integrity axis would act as a gatekeeper during GNPs鈥",basal body,19254375; 30695697;,BBS4 centriolar satellite complex,NA
CEP135,ENSG00000174799,centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086],CEP4; FLJ13621; KIAA0635,611423,"CEP135/Bld10 promotes the assembly and stability of the centriolar microtubule wall. Induces the formation of protofilament-based ring-like structures, binding directly to tubulin, protofilaments, and microtubules (27477386). Required for centriole conversion to centrosome (26595382). Plays an important role in the assembly of centriole/basal bodies and stabilisation of microtubules, maintaining basal body integrity (23810536, 23115304, 22898782). Knockdown of CEP135 leads to disorganised interphase and mitotic spindle microtubules (22521416)","basal body,cilia",27477386; 26595382; 23810536; 23115304; 22898782; 22521416,NA,NA
CEP162,ENSG00000135315,centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107],C6ORF84; KIAA1009; QN1,610201,Promotes and restricts transition zone (TZ) assembly before ciliogenesis. Interacts with core TZ components CEP290 and mediates their association with MTs. Loss of CEP162 arrests ciliogenesis at the stage of TZ assembly; gain of CEP162 at cilia tips promotes ectopic assembly of TZ components,"basal body,cilia",23644468,Distal appendage,NA
CEP164,ENSG00000110274,centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182],KIAA1052; NPHP15,614848,"Assembly of primary cilia and promotes vesicular docking and trafficking that initiates cilia membrane biogenesis (17954613, 23253480). CEP164 promotes accumulation of GTP-Rab8 at the centrosome, providing a molecular link connecting the M-centriole to components of the machinery that initiate ciliary membrane biogenesis (23253480). Recruitment of active tau tubulin ki se 2 (TTBK2) to centrioles, leading to removal of CP110 and recruitment of intraflagellar transport proteins (24982133). Mutations in CEP164 are related to nephronophthisis and Joubert syndrome, it may may facilitate the docking of the INPP5E鈥揚DE6D complex to the centrosomal distal appendage/transition fiber (23150559). Mutations also reported in a BBS/PCD case (32367404).",basal body,17954613; 23253480; 24982133; 23150559; 32367404,CEP164-TTBK2 complex; CCDC92-CEP164 complex; CEP164-DZIP1 complex; Distal appendage,NA
CEP170,ENSG00000276725; ENSG00000143702,centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920],FAM68A; KAB; KIAA0470,613023,Required for anchoring the subdistal appendages (SDA) complex in the centrifuge to the cytoplasmic microtubule network. It is an FHDC1 buinding protein to keep this connection (29742020). Recruits microtubule-depolymerizing factor KIF2A to disassemble cilium (31197141).,basal body,29742020; 31197141,Centriolar subdistal appendage,NA
CEP19,ENSG00000174007,centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209],C3ORF34; MGC14126,615586,"Recruitment of ciliary vesicles to the centrioles during early ciliogenesis, which suggest it is a regulator for membrane trafficking pathways . CEP19 recruits and associates with RABL2 to the basal body, promoting cilia assembly via its interactions with the FT-B complex (28659385). CEP19-RABL2B complex plays a critical role as a regulator to initiate intraflagellar transport (28625565, 28428259).",basal body,28659385; 28625565; 28428259,CEP19-CEP350-CEP43-RABL2B complex,NA
CEP20,ENSG00000276914; ENSG00000133393,centrosomal protein 20 [Source:HGNC Symbol;Acc:HGNC:26435],C16ORF63; DKFZP686N1651; FLJ31153; FOPNL; FOR20; PHSECRG2,617149,Regulation of integrity of the centriole distal end and membrane anchoring. Complex with OFD1 to initiate ciliogenesis and control cilia length (26643951). Involved in cilia formation and regulating the interaction of PCM1 satellites with microtubules and motors (20551181). Regulates the assembly and maintains the stability and dy mics of microtubules. It may inhibit tubulin assembly by sequestering soluble tubulin (28694353).,basal body,19011630; 30881373;23822649,KIAA0753-FOR20-OFD1 complex,NA
CEP250,ENSG00000126001,centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859],C- P1; CEP2,609689,"Interact with proteins implicated in rhodopsin trafficking (NEK2 and NINL). Rrecruitment of several proteins to centriole proximal ends, including Girdin (Girders of actin filaments) and proteins that associate with the distal region of the mother centriole (NEK2, ninein, CEP170, p150glued and KIF2A) (30421101). C- P1 anchores rootletin filaments that hold duplicated centrosomes together(28100636). Mutations are associated to Usher Syndrome and retinitis pigmentosa (28005958).",basal body,30421101; 28005958; 28100636,NA,NA
CEP290,ENSG00000198707,centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021],3H11AG; BBS14; CT87; FLJ13615; JBTS5; KIAA0373; LCA10; MKS4; NPHP6; POC3; RD16; SLSN6,610142,"Assembly and stabilisation of the primary cilium as well as centrosomal function (30478281, 22563985). Interacts with a centriolar satellite protein PCM-1 and is implicated in molecular pathways related to BBS4 function. CEP250 binds PCM- 1 and are involved in ciliary targeting of Rab8 required to promote ciliogenesis. Interacts with components of both dynein and kinesin motor machineries (18772192). Regulation of intracellular protein trafficking by association with microtubule-based transport protein RPGR (16632484). CEP250 plays an important role in the formation and stabilisation of the primary cilium as well as centrosomal function, stabilises the linkage of axoneme microtubules to the ciliary membrane to maintain the integrity of the ciliary diffusion barrier. CEP290 is critical for positioning the molecular components that are necessary for correct processing of Shh sig lling in the primary cilium (30478281)","basal body ,transition zone",30478281; 18772192; 16632484; 30478281; 22563985.,CCP110-CEP290 complex; CEP290-IQCB1 complex; CC2D2A-CEP290 complex; Distal appendage,Ciliary function
CEP350,ENSG00000135837,centrosomal protein 350 [Source:HGNC Symbol;Acc:HGNC:24238],CAP350; KIAA0480,617870,"Also calles CAP350. Facilitates the localization of CEP19 to the centriole (28659385). CEP250 is necessary for recruitment of FOP and provides a docking site for it at the centrosome. Both CEP250 and FOP form a complex and are required for microtubules anchoring to the centrosome (16314388). CEP350-FOP complex promotes recruitment of both the CEP19-RABL2B complex and TTBK2 to the mother centriole (28625565). Centriole growth is regulated by CAP350, which is also required early during the procentriole assembly process when the first microtubule is polymerised (19052644)",basal body,28659385; 16314388; 28625565; 19052644,CEP19-CEP350-CEP43-RABL2B complex,NA
CEP41,ENSG00000106477,centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370],DKFZP762H1311; FLJ22445; JBTS15; TSGA14,610523,"Regulation of tubulin glutamyl posttranslatio l modifications by mediating ciliary transport of TTLL6 between the basal body and cilium, therefore, it is also required for localising TTLL6 to the cilium. CEP41 is also involved in ciliary structural formation and motility through glutamylation and its loss of CEP41 has been identified as a cause of Joubert syndrome (22246503). CEP41 regulates cilia disassembly and angiogenesis through AURKA activation by modulating axonemal tubulin glutamylation (31885126)",basal body,22246503; 31885126,NA,NA
CEP68,ENSG00000011523,centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076],KIAA0582,616889,"Connection of the two centrosomes of a cell during interphase, required for cilia and mitotic spingle formation. Rootletin binds CEP68 modulating the thickness of rootletin filaments and promoting rootletin filament formation. Rootletin and CEP68 rings are the anchoring point of filaments that radiate into the cytoplasm (29463719). CEP68, C- P1 and Rootletin, cooperate in centrosome cohesion (18042621). Interacts with CEP215 to retain it on the peripheral pericentriolar material, inhibiting centriole separation following disengagement (25503564)",basal body,29463719; 18042621; 25503564.,NA,NA
CEP72,ENSG00000112877; ENSG00000280688,centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547],FLJ10565; KIAA1519,616475,"Regulation of the centrosomal localisation of γ-tubulin complex components, CG- P, and Kiz. Cep72 provides centrosomal microtubule-nucleation activity and has critical roles in spindle-pole formation, whichis needed for proper tension generation between sister chromatids during mitosis (19536135). Recruitment of Cep290 to centriolar satellites by interaction with PCM1. Regulates ciliary recruitment and relocalisation of BBS4 from centriolar satellites to primary cilia during ciliogenesis, which affects assembly and recruitment of the BBSome (22767577).",basal body,19536135; 22767577,NA,NA
CEP78,ENSG00000148019,centrosomal protein 78 [Source:HGNC Symbol;Acc:HGNC:25740],C9ORF81; FLJ12643,617110,Centrosome overduplication by interaction with the N- termi l catalytic domain of Plk4 (27246242). Regulation of centrosome homeostasis by inhibiting the fi l step of the enzymatic reaction catalyzed by EDD鈥,basal body,27246242; 27588451; 28242748,CEP78-DCAF1-DYRK2-UBR5 complex,NA
CEP83,ENSG00000173588,centrosomal protein 83 [Source:HGNC Symbol;Acc:HGNC:17966],CCDC41; NPHP18; NY-REN-58,615847,"Recruitment of distal appendages proteins like SCLT1 and CEP89 (23348840). CEP83 phosphorylation mediated by TTBK2, regulates docking of membrane vesicles to mother centrioles, promoting CP110 removal and cilia initiation. Mutation have been associated with infantile nephronophthisis (31455668).",basal body,23348840; 31455668;,Distal appendage,NA
CEP89,ENSG00000121289,centrosomal protein 89 [Source:HGNC Symbol;Acc:HGNC:25907],CCDC123; FLJ14640,615470,"Also calles CEP13 and CCDC123. Assembly of primary cilium and membrane docking (23348840). It interacts with the centriolar satellite proteins PCM-1 and OFD1 for cilia formation, and with Cep290 for the recruitment of membranes to the centrosome. CEP123 is required for the formation of a ciliary vesicle at the distal end of the mother centriole during primary ciliogenesis (23789104)","basal body,cilia",23348840; 23789104.,Distal appendage,NA
CEP97,ENSG00000182504,centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244],FLJ23047; LRRIQ2,615864,"Recruitment and stabilisation of CP110 to centrosomes. Both CP110 and CEP97 complexes regulate basal body function, centrosome functions and inhibit cilia assembly (17719545). Loss of CEP97 causes premature cilia formation or abnormal centriole elongation (30375385). CEP97 ubiquitylation and degradation play a key role in the removal of the CEP97–CP110 complex from the mother centriole for initiating ciliary axoneme extension (30404837).",basal body,17719545; 30375385; 30404837.,Distal appendage,NA
CETN2,ENSG00000147400; ENSG00000292191,centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867],CALT; CEN2,300006,"Synthesis and accumulation of CETN2 is required for centriole duplication (12176356). Regulation of primary ciliogenesis through controlling CP110 levels and localisation (25753040). Stabilisation of connecting cilium axoneme structure. CETN2 is required for photoreceptor survival by regulating SPATA7 CC localization, distal connecting cilium/axoneme microtubule stability, and outer segment disc orientation (30647131)","basal body, flagella",12176356; 25753040; 30647131,NA,NA
CETN3,ENSG00000153140,centrin 3 [Source:HGNC Symbol;Acc:HGNC:1868],CEN3,602907,"CETN3 is also required for photoreceptor survival by regulating SPATA7 CC localization, distal connecting cilium/axoneme microtubule stability, and outer segment disc orientation (30647131). CETN3 restrains centriole assembly by inhibiting Mps1 ki se activity at centrosomes and phosphorylation of both the specific substrate CETN2 (26354417)",basal body,30647131; 26354417.,NA,NA
